ID,Fraction_ID,Envelope_num,Mass,MonoMz,Charge,Intensity,mzLo,mzHi,rtLo,rtHi,color,opacity,promex_score
16,0,15,9233.93,1155.25,8,2.93664e+08,1155.27,1156.98,47.2583,48.158,#FF0000,0.1,45.5462
16,0,16,9233.93,1027,9,5.30821e+08,1027.01,1028.55,47.2583,48.158,#FF0000,0.1,45.5462
16,0,18,9233.93,924.4,10,1.13649e+09,924.4,925.803,47.2583,48.3077,#FF0000,0.1,45.5462
16,0,19,9233.93,840.455,11,1.59161e+09,840.446,841.74,47.2583,48.3817,#FF0000,0.1,45.5462
16,0,17,9233.93,770.501,12,1.24877e+09,770.485,771.687,47.2583,48.3077,#FF0000,0.1,45.5462
16,0,17,9233.93,711.309,13,1.18924e+09,711.287,712.412,47.2583,48.2333,#FF0000,0.1,45.5462
16,0,16,9233.93,660.574,14,7.44795e+08,660.545,661.604,47.2583,48.158,#FF0000,0.1,45.5462
16,0,10,9233.93,616.602,15,2.19085e+08,616.569,617.571,47.3327,48.158,#FF0000,0.1,45.5462
16,0,1,9233.93,578.128,16,4.20749e+06,578.09,579.042,47.6495,47.6495,#FF0000,0.1,45.5462
17,0,9,8113.21,1353.21,6,2.06222e+08,1353.11,1355.31,34.1153,34.492,#FF0000,0.1,51.9858
17,0,11,8113.21,1160.04,7,7.37393e+08,1159.94,1161.86,34.067,34.5375,#FF0000,0.1,51.9858
17,0,10,8113.21,1015.16,8,3.40899e+08,1015.06,1016.76,34.1153,34.5912,#FF0000,0.1,51.9858
17,0,11,8113.21,902.475,9,5.46088e+08,902.375,903.911,34.067,34.5375,#FF0000,0.1,51.9858
17,0,12,8113.21,812.328,10,8.17814e+08,812.228,813.631,34.067,34.5912,#FF0000,0.1,51.9858
17,0,10,8113.21,738.572,11,7.40343e+08,738.472,739.765,34.1153,34.5375,#FF0000,0.1,51.9858
17,0,9,8113.21,677.108,12,3.79945e+08,677.008,678.21,34.067,34.492,#FF0000,0.1,51.9858
17,0,9,8113.21,625.1,13,2.26141e+08,625,626.126,34.1153,34.492,#FF0000,0.1,51.9858
17,0,3,8113.21,580.522,14,2.7154e+07,580.422,581.481,34.2058,34.299,#FF0000,0.1,51.9858
18,0,5,10089,1442.29,7,8.76379e+07,1442.33,1444.39,36.685,36.885,#FF0000,0.1,49.8105
18,0,6,10089,1262.13,8,1.99045e+08,1262.15,1263.98,36.685,36.959,#FF0000,0.1,49.8105
